response_id,timestamp,residency,age,crypto_experience,portfolio_btc_eth,portfolio_stablecoins,portfolio_memecoins,portfolio_nfts,portfolio_none,info_telegram,info_twitter_x,info_youtube,info_lihkg,info_discord,info_xiaohongshu,investment_driver,platform_usage,factor_user_experience,factor_fee_structure,factor_asset_variety,factor_community_vibe,factor_regulatory_compliance,friction_point,word_reliable,word_safe,word_institutional,word_boring,word_premium,word_restrictive,word_elite,trust_score,engagement_score,pizza_day_awareness,incentive_preference,safe_punk_receptivity
R0001,2026-02-15 10:37:04,Hong Kong,29,1–3 years,0,0,0,0,1,1,1,0,0,0,0,Speculation (Quick gains),DEX (Uniswap/Jupiter),2,4,4,5,3,High Fees,0,1,0,0,0,0,0,4,3,"Yes, I celebrate it",Exclusive Airdrop of Trending Tokens,Likely would change perception
R0002,2026-02-15 11:01:08,Hong Kong,26,Interested but haven't started,1,0,0,0,0,1,1,1,0,0,1,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,4,3,4,3,"Lack of ""Degen"" Culture",1,0,0,1,1,0,0,4,1,No,Limited Edition NFT,Likely would change perception
R0003,2026-02-15 13:43:17,Hong Kong,22,1–3 years,1,0,0,0,0,1,0,1,1,0,0,Community & Narrative,Offshore (Binance/OKX/Bybit),5,3,3,3,3,No USDT Pairs,1,1,1,0,1,1,1,3,3,No,Exclusive Airdrop of Trending Tokens,Unlikely to change perception
R0004,2026-02-15 14:30:28,Hong Kong,27,3+ years,0,1,0,0,0,1,1,0,0,0,0,Financial Independence,OTC Stores,5,5,4,4,5,Complex KYC,1,0,1,0,0,1,0,5,4,Heard of it,Trading Fee Rebates,Definitely would change perception
R0005,2026-02-15 15:54:51,Hong Kong,18,3+ years,0,1,1,0,0,1,1,1,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,4,5,3,4,No USDT Pairs,1,1,0,0,0,0,0,4,2,Heard of it,Exclusive Airdrop of Trending Tokens,Neutral
R0006,2026-02-15 17:24:33,Hong Kong,31,1–3 years,1,1,0,0,0,1,0,0,0,1,1,Financial Independence,DEX (Uniswap/Jupiter),4,3,5,4,3,High Fees,0,1,1,1,0,1,0,4,2,No,Trading Fee Rebates,Unlikely to change perception
R0007,2026-02-15 17:40:11,Hong Kong,24,3+ years,1,1,1,0,0,0,0,0,1,1,0,Financial Independence,DEX (Uniswap/Jupiter),5,4,3,4,4,PI Restrictions,1,0,1,0,0,0,0,5,2,"Yes, I celebrate it",Exclusive Airdrop of Trending Tokens,Likely would change perception
R0008,2026-02-15 20:34:22,Hong Kong,34,1–3 years,0,1,0,1,0,1,1,0,0,0,0,Financial Independence,OTC Stores,4,4,4,3,3,Complex KYC,0,1,1,0,0,0,0,4,2,"Yes, I celebrate it",Physical Pizza Party in Central,Likely would change perception
R0009,2026-02-15 21:01:45,Hong Kong,18,Less than 1 year,1,0,0,1,0,1,1,1,0,0,1,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),5,4,4,4,3,No USDT Pairs,0,0,0,0,0,0,1,4,3,No,Exclusive Airdrop of Trending Tokens,Neutral
R0010,2026-02-16 00:18:54,Hong Kong,21,Less than 1 year,1,1,1,0,0,0,0,1,1,0,0,Technology,Licensed (HashKey/OSL),4,4,5,3,2,"Lack of ""Degen"" Culture",0,0,0,1,0,0,0,6,4,No,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0011,2026-02-16 01:10:34,Hong Kong,31,1–3 years,1,0,0,1,0,0,0,1,0,0,0,Technology,Offshore (Binance/OKX/Bybit),4,4,3,5,3,Complex KYC,0,0,0,0,0,0,0,7,1,Heard of it,Limited Edition NFT,Likely would change perception
R0012,2026-02-16 04:31:51,Hong Kong,24,1–3 years,1,0,0,0,0,1,1,1,1,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,5,4,4,2,"Lack of ""Degen"" Culture",1,0,0,0,0,0,0,7,3,Heard of it,Physical Pizza Party in Central,Likely would change perception
R0013,2026-02-16 08:12:58,Hong Kong,32,1–3 years,1,0,1,0,0,0,1,0,0,1,1,Technology,Offshore (Binance/OKX/Bybit),4,5,2,2,2,Complex KYC,1,1,1,0,0,0,0,6,4,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0014,2026-02-16 08:36:45,Hong Kong,25,1–3 years,0,1,1,0,0,1,0,0,0,0,0,Financial Independence,DEX (Uniswap/Jupiter),4,4,5,2,1,Complex KYC,0,0,1,0,0,0,1,6,3,Heard of it,Trading Fee Rebates,Likely would change perception
R0015,2026-02-16 10:26:27,Hong Kong,27,Less than 1 year,1,1,0,0,0,1,0,0,0,1,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,5,4,4,1,"Lack of ""Degen"" Culture",1,1,1,0,0,0,0,4,1,Heard of it,Trading Fee Rebates,Definitely would change perception
R0016,2026-02-16 11:24:13,Hong Kong,32,1–3 years,0,1,0,0,0,0,1,0,0,1,1,Technology,Offshore (Binance/OKX/Bybit),5,3,4,4,5,High Fees,0,0,1,1,0,0,0,4,3,No,Exclusive Airdrop of Trending Tokens,Neutral
R0017,2026-02-16 15:42:55,Hong Kong,21,1–3 years,0,0,0,1,0,1,0,1,0,1,0,Financial Independence,Licensed (HashKey/OSL),4,3,3,4,1,Complex KYC,1,1,1,1,1,0,0,7,3,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0018,2026-02-16 17:23:14,Hong Kong,31,1–3 years,0,0,0,0,1,1,1,0,0,0,0,Financial Independence,Licensed (HashKey/OSL),5,5,4,4,3,High Fees,1,1,1,0,0,0,0,4,4,No,Trading Fee Rebates,Likely would change perception
R0019,2026-02-16 17:30:28,Hong Kong,20,3+ years,1,0,0,0,0,1,1,0,1,0,1,Speculation (Quick gains),Licensed (HashKey/OSL),5,4,3,4,4,No USDT Pairs,1,0,0,0,0,1,0,6,3,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0020,2026-02-16 17:31:18,Hong Kong,21,1–3 years,1,1,0,0,0,1,1,0,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,4,4,3,3,High Fees,0,0,0,0,0,0,1,5,4,Heard of it,Trading Fee Rebates,Likely would change perception
R0021,2026-02-16 17:33:40,Hong Kong,24,Interested but haven't started,1,0,0,0,0,1,0,1,0,0,0,Speculation (Quick gains),Licensed (HashKey/OSL),4,3,4,3,1,Complex KYC,0,0,1,1,0,0,0,5,4,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0022,2026-02-16 18:22:56,Hong Kong,22,3+ years,1,1,1,0,0,1,1,1,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,3,3,3,2,High Fees,1,0,0,0,0,0,0,5,4,Heard of it,Trading Fee Rebates,Neutral
R0023,2026-02-16 19:01:53,Hong Kong,29,3+ years,1,0,1,0,0,1,1,0,0,0,0,Financial Independence,Licensed (HashKey/OSL),5,5,3,3,2,"Lack of ""Degen"" Culture",0,1,0,0,0,0,1,6,3,Heard of it,Limited Edition NFT,Neutral
R0024,2026-02-16 19:13:55,Hong Kong,23,1–3 years,1,1,1,0,0,1,0,1,1,0,0,Technology,Licensed (HashKey/OSL),3,3,5,3,3,"Lack of ""Degen"" Culture",1,0,1,1,0,0,0,4,2,Heard of it,Exclusive Airdrop of Trending Tokens,Neutral
R0025,2026-02-16 21:04:58,Hong Kong,21,1–3 years,0,1,0,1,0,1,1,1,0,0,0,Speculation (Quick gains),DEX (Uniswap/Jupiter),3,3,4,3,2,High Fees,0,1,0,1,0,0,0,6,3,Heard of it,Trading Fee Rebates,Neutral
R0026,2026-02-16 22:27:11,Hong Kong,24,Interested but haven't started,1,0,0,0,0,1,0,0,1,0,0,Community & Narrative,Offshore (Binance/OKX/Bybit),5,4,4,4,3,High Fees,0,0,1,1,0,0,0,5,1,Heard of it,Trading Fee Rebates,Neutral
R0027,2026-02-16 22:55:51,Hong Kong,22,1–3 years,1,1,0,0,0,1,1,0,0,0,0,Financial Independence,Licensed (HashKey/OSL),3,3,5,5,2,No USDT Pairs,1,1,1,0,0,0,0,4,2,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0028,2026-02-17 01:18:41,Hong Kong,25,Less than 1 year,1,0,1,0,0,1,0,1,1,0,1,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,4,5,5,2,"Lack of ""Degen"" Culture",1,1,1,0,0,0,1,5,2,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0029,2026-02-17 02:11:45,Hong Kong,19,Less than 1 year,1,0,0,1,0,0,1,0,0,1,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,4,5,5,1,Complex KYC,0,0,0,0,0,0,0,6,1,No,Exclusive Airdrop of Trending Tokens,Neutral
R0030,2026-02-17 04:22:38,Hong Kong,23,Less than 1 year,1,1,1,0,0,0,1,0,1,0,0,Technology,Offshore (Binance/OKX/Bybit),5,5,2,5,3,High Fees,0,1,0,1,0,0,0,5,4,No,Trading Fee Rebates,Likely would change perception
R0031,2026-02-17 06:10:10,Hong Kong,28,1–3 years,1,0,0,1,0,1,1,0,0,0,1,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,4,4,3,1,Complex KYC,1,0,0,1,1,0,0,6,5,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0032,2026-02-17 07:56:06,Hong Kong,32,1–3 years,1,1,0,0,0,0,1,1,0,0,1,Technology,Offshore (Binance/OKX/Bybit),5,5,2,2,4,Complex KYC,0,1,0,0,0,0,0,6,4,Heard of it,Exclusive Airdrop of Trending Tokens,Neutral
R0033,2026-02-17 09:49:49,Hong Kong,21,Interested but haven't started,1,1,0,0,0,1,1,0,1,1,0,Financial Independence,Offshore (Binance/OKX/Bybit),3,4,4,4,3,High Fees,1,1,1,0,0,0,0,5,5,Heard of it,Trading Fee Rebates,Neutral
R0034,2026-02-17 15:45:43,Hong Kong,19,Less than 1 year,1,0,0,0,0,1,0,1,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),5,3,5,3,4,"Lack of ""Degen"" Culture",0,0,0,1,0,0,0,7,4,Heard of it,Physical Pizza Party in Central,Likely would change perception
R0035,2026-02-17 17:05:54,Hong Kong,30,Less than 1 year,0,1,0,0,0,1,1,1,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,4,3,2,4,No USDT Pairs,0,1,0,0,0,0,0,6,4,No,Trading Fee Rebates,Definitely would change perception
R0036,2026-02-17 17:16:47,Hong Kong,29,3+ years,1,1,0,0,0,0,1,1,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,4,4,4,2,No USDT Pairs,0,1,0,1,0,1,0,3,2,No,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0037,2026-02-17 17:37:25,Hong Kong,29,Interested but haven't started,1,0,0,0,0,1,1,0,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),5,3,4,3,4,"Lack of ""Degen"" Culture",1,1,0,0,0,0,0,2,4,Heard of it,Exclusive Airdrop of Trending Tokens,Neutral
R0038,2026-02-17 17:59:35,Hong Kong,31,3+ years,0,1,0,1,0,0,1,0,0,0,0,Technology,OTC Stores,4,3,4,1,5,High Fees,1,0,0,0,0,0,0,5,1,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0039,2026-02-17 20:05:29,Hong Kong,18,1–3 years,1,0,1,0,0,1,1,0,1,0,1,Financial Independence,Offshore (Binance/OKX/Bybit),4,3,3,4,3,"Lack of ""Degen"" Culture",1,0,1,0,0,1,0,6,2,"Yes, I celebrate it",Exclusive Airdrop of Trending Tokens,Neutral
R0040,2026-02-17 22:00:59,Hong Kong,33,Interested but haven't started,1,1,1,0,0,1,1,0,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,4,3,4,2,Complex KYC,0,0,0,1,0,0,1,3,2,Heard of it,Exclusive Airdrop of Trending Tokens,Definitely would not change perception
R0041,2026-02-18 03:40:13,Hong Kong,30,1–3 years,1,1,1,0,0,1,1,1,1,1,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,3,5,2,5,"Lack of ""Degen"" Culture",1,0,1,0,1,0,0,5,4,Heard of it,Exclusive Airdrop of Trending Tokens,Unlikely to change perception
R0042,2026-02-18 04:15:59,Hong Kong,28,3+ years,1,1,1,0,0,1,0,0,1,1,0,Financial Independence,OTC Stores,5,4,4,3,4,"Lack of ""Degen"" Culture",0,0,0,0,0,0,0,7,4,Heard of it,Trading Fee Rebates,Neutral
R0043,2026-02-18 05:05:00,Hong Kong,23,Less than 1 year,1,1,0,0,0,0,0,0,0,0,1,Financial Independence,Offshore (Binance/OKX/Bybit),5,5,2,4,3,High Fees,1,1,0,1,0,0,0,5,4,No,Exclusive Airdrop of Trending Tokens,Neutral
R0044,2026-02-18 06:17:16,Hong Kong,22,Less than 1 year,0,1,0,0,0,1,1,1,0,1,0,Community & Narrative,Licensed (HashKey/OSL),4,4,4,3,2,Complex KYC,0,1,0,1,0,0,0,6,2,No,Trading Fee Rebates,Unlikely to change perception
R0045,2026-02-18 06:26:50,Hong Kong,19,1–3 years,1,1,0,0,0,0,1,1,1,0,1,Financial Independence,Offshore (Binance/OKX/Bybit),3,4,4,4,4,"Lack of ""Degen"" Culture",1,0,1,0,0,0,0,5,3,Heard of it,Exclusive Airdrop of Trending Tokens,Definitely would change perception
R0046,2026-02-18 07:02:35,Hong Kong,35,1–3 years,1,1,0,0,0,1,0,1,0,0,1,Financial Independence,Offshore (Binance/OKX/Bybit),5,4,4,2,4,"Lack of ""Degen"" Culture",1,0,1,1,1,0,0,6,2,Heard of it,Trading Fee Rebates,Likely would change perception
R0047,2026-02-18 08:33:39,Hong Kong,18,1–3 years,1,1,1,0,0,1,1,1,1,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,5,5,4,3,"Lack of ""Degen"" Culture",0,1,0,0,1,0,0,7,1,Heard of it,Exclusive Airdrop of Trending Tokens,Definitely would not change perception
R0048,2026-02-18 12:00:11,Hong Kong,19,1–3 years,1,1,0,0,0,1,1,1,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),3,2,5,4,4,High Fees,0,1,0,0,0,0,0,7,2,Heard of it,Limited Edition NFT,Likely would change perception
R0049,2026-02-18 12:41:40,Hong Kong,32,Less than 1 year,0,0,1,1,0,1,1,0,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),5,4,5,3,4,"Lack of ""Degen"" Culture",1,1,0,0,0,0,0,4,5,Heard of it,Exclusive Airdrop of Trending Tokens,Neutral
R0050,2026-02-18 16:44:07,Hong Kong,33,Less than 1 year,1,0,0,0,0,0,0,0,1,0,1,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),5,3,4,3,1,Complex KYC,0,1,1,1,0,0,0,6,5,Heard of it,Limited Edition NFT,Definitely would not change perception
R0051,2026-02-18 17:43:40,Hong Kong,19,Interested but haven't started,0,0,1,1,0,1,1,0,1,1,1,Speculation (Quick gains),DEX (Uniswap/Jupiter),5,5,4,4,4,PI Restrictions,1,0,1,1,1,0,1,5,3,No,Exclusive Airdrop of Trending Tokens,Neutral
R0052,2026-02-18 18:21:30,Hong Kong,35,3+ years,0,1,0,0,0,1,0,1,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),2,3,5,4,2,High Fees,0,0,0,1,0,0,0,6,1,No,Exclusive Airdrop of Trending Tokens,Definitely would not change perception
R0053,2026-02-18 19:02:39,Hong Kong,23,Interested but haven't started,1,1,1,0,0,1,1,0,0,0,1,Financial Independence,Offshore (Binance/OKX/Bybit),4,3,5,3,3,Complex KYC,1,0,1,0,0,1,0,6,6,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0054,2026-02-19 03:04:12,Hong Kong,32,1–3 years,1,1,0,1,0,1,1,1,0,0,0,Community & Narrative,Licensed (HashKey/OSL),5,4,5,4,2,"Lack of ""Degen"" Culture",1,0,0,0,0,0,0,6,2,Heard of it,Exclusive Airdrop of Trending Tokens,Unlikely to change perception
R0055,2026-02-19 05:12:03,Hong Kong,31,Interested but haven't started,1,1,0,0,0,0,0,1,0,1,0,Speculation (Quick gains),Licensed (HashKey/OSL),4,5,5,2,5,Complex KYC,1,1,0,1,1,0,0,6,5,No,Limited Edition NFT,Likely would change perception
R0056,2026-02-19 08:45:31,Hong Kong,19,3+ years,1,1,0,0,0,1,0,1,0,1,0,Technology,Offshore (Binance/OKX/Bybit),4,4,4,4,3,"Lack of ""Degen"" Culture",0,0,1,1,0,0,0,5,3,No,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0057,2026-02-19 08:46:39,Hong Kong,30,1–3 years,0,0,0,1,0,0,0,0,1,1,0,Community & Narrative,Offshore (Binance/OKX/Bybit),4,4,4,4,5,No USDT Pairs,1,0,0,1,0,0,0,6,4,Heard of it,Exclusive Airdrop of Trending Tokens,Neutral
R0058,2026-02-19 10:38:32,Hong Kong,24,Less than 1 year,0,0,0,0,1,1,1,0,1,0,0,Financial Independence,Licensed (HashKey/OSL),3,5,4,3,4,"Lack of ""Degen"" Culture",1,1,0,0,0,0,0,6,5,Heard of it,Physical Pizza Party in Central,Likely would change perception
R0059,2026-02-19 14:22:33,Hong Kong,32,1–3 years,1,1,0,0,0,1,1,0,1,0,0,Technology,Offshore (Binance/OKX/Bybit),3,4,2,3,3,"Lack of ""Degen"" Culture",0,0,1,0,0,0,1,4,2,No,Physical Pizza Party in Central,Likely would change perception
R0060,2026-02-19 16:21:39,Hong Kong,27,Interested but haven't started,1,0,1,0,0,0,1,0,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,2,3,3,4,"Lack of ""Degen"" Culture",0,1,0,0,0,0,0,7,1,"Yes, I celebrate it",Trading Fee Rebates,Neutral
R0061,2026-02-19 16:36:24,Hong Kong,22,3+ years,1,0,0,0,0,0,0,1,0,0,0,Speculation (Quick gains),DEX (Uniswap/Jupiter),5,5,4,4,5,No USDT Pairs,0,1,1,0,0,0,0,6,2,No,Exclusive Airdrop of Trending Tokens,Neutral
R0062,2026-02-19 16:53:16,Hong Kong,34,Less than 1 year,1,1,1,0,0,1,0,0,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,5,3,3,5,"Lack of ""Degen"" Culture",0,1,1,0,0,1,0,4,2,No,Trading Fee Rebates,Neutral
R0063,2026-02-19 16:57:59,Hong Kong,22,1–3 years,1,1,0,0,0,1,0,1,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),5,5,3,3,2,PI Restrictions,1,1,0,1,0,1,0,5,4,No,Exclusive Airdrop of Trending Tokens,Definitely would change perception
R0064,2026-02-19 17:44:09,Hong Kong,34,Interested but haven't started,0,0,0,1,0,1,1,1,0,0,1,Financial Independence,Offshore (Binance/OKX/Bybit),4,4,3,1,2,Complex KYC,1,0,1,0,0,1,0,5,3,Heard of it,Limited Edition NFT,Neutral
R0065,2026-02-19 18:13:59,Hong Kong,19,Less than 1 year,1,0,0,0,0,0,0,1,0,0,1,Financial Independence,Offshore (Binance/OKX/Bybit),5,5,3,3,3,High Fees,1,0,0,0,0,1,0,4,2,Heard of it,Limited Edition NFT,Likely would change perception
R0066,2026-02-19 18:31:56,Hong Kong,33,3+ years,1,1,1,0,0,1,0,0,0,1,0,Technology,DEX (Uniswap/Jupiter),2,4,4,3,3,"Lack of ""Degen"" Culture",0,0,0,0,1,0,0,5,2,Heard of it,Limited Edition NFT,Neutral
R0067,2026-02-19 21:39:48,Hong Kong,20,3+ years,1,1,1,0,0,1,1,1,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),5,3,3,1,1,PI Restrictions,0,0,0,0,1,0,0,6,3,No,Exclusive Airdrop of Trending Tokens,Unlikely to change perception
R0068,2026-02-19 21:50:36,Hong Kong,24,Interested but haven't started,1,1,0,0,0,1,1,0,0,0,0,Financial Independence,DEX (Uniswap/Jupiter),5,4,3,4,3,Complex KYC,1,1,0,1,0,0,0,7,2,Heard of it,Limited Edition NFT,Likely would change perception
R0069,2026-02-20 00:30:19,Hong Kong,20,Less than 1 year,1,0,0,0,0,0,1,0,1,0,0,Speculation (Quick gains),OTC Stores,3,5,3,4,3,High Fees,0,1,0,0,0,0,1,6,3,"Yes, I celebrate it",Exclusive Airdrop of Trending Tokens,Likely would change perception
R0070,2026-02-20 00:42:21,Hong Kong,21,1–3 years,1,0,0,0,0,1,1,1,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,4,3,5,3,"Lack of ""Degen"" Culture",0,1,1,1,1,0,0,4,1,Heard of it,Limited Edition NFT,Likely would change perception
R0071,2026-02-20 00:52:47,Hong Kong,20,1–3 years,1,1,0,0,0,1,0,0,0,1,1,Financial Independence,Licensed (HashKey/OSL),5,5,4,5,3,"Lack of ""Degen"" Culture",1,0,0,0,0,0,0,5,6,No,Trading Fee Rebates,Unlikely to change perception
R0072,2026-02-20 02:23:08,Hong Kong,21,1–3 years,0,0,0,0,1,1,1,0,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,4,3,2,3,No USDT Pairs,1,1,0,0,0,1,1,7,2,No,Physical Pizza Party in Central,Neutral
R0073,2026-02-20 05:16:10,Hong Kong,22,Interested but haven't started,0,1,0,0,0,0,1,1,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),3,3,5,3,2,"Lack of ""Degen"" Culture",0,0,0,0,0,0,0,6,3,No,Trading Fee Rebates,Likely would change perception
R0074,2026-02-20 07:08:46,Hong Kong,20,Less than 1 year,1,1,1,0,0,1,1,0,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,4,3,5,3,"Lack of ""Degen"" Culture",0,1,1,1,0,0,0,4,3,No,Exclusive Airdrop of Trending Tokens,Definitely would change perception
R0075,2026-02-20 07:21:45,Hong Kong,28,3+ years,1,0,0,1,0,1,1,0,0,0,0,Technology,Licensed (HashKey/OSL),5,4,5,4,2,"Lack of ""Degen"" Culture",1,0,0,0,0,0,1,5,2,Heard of it,Exclusive Airdrop of Trending Tokens,Unlikely to change perception
