id,timestamp,platform,user,content,simulated_sentiment,analyzed_sentiment
raw_0000,2025-05-15 20:00:00,Twitter,crypto_user_790,Checking out the new HashKey update. #HKWeb3 #Crypto,0.0,0.0
raw_0001,2025-05-29 15:00:00,Telegram,crypto_user_528,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.27,0.27
raw_0002,2025-05-11 17:00:00,Telegram,crypto_user_664,No USDT pairs? This is so restrictive for active traders.,-0.39,-0.39
raw_0003,2025-05-27 08:00:00,LIHKG,crypto_user_520,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.35,0.35
raw_0004,2025-05-22 05:00:00,Twitter,crypto_user_362,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.67,0.67
raw_0005,2025-05-01 01:00:00,Twitter,crypto_user_889,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,-0.0,-0.0
raw_0006,2025-05-20 04:00:00,LIHKG,crypto_user_879,Just finished my KYC on HashKey. Super fast and professional. Secure trading is the way.,0.47,0.47
raw_0007,2025-05-02 03:00:00,Twitter,crypto_user_840,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,-0.09,-0.09
raw_0008,2025-05-02 09:00:00,LIHKG,crypto_user_114,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.54,0.54
raw_0009,2025-05-24 14:00:00,Twitter,crypto_user_172,High fees on licensed exchanges compared to DEXs. Why bother?,-0.33,-0.33
raw_0010,2025-05-10 23:00:00,LIHKG,crypto_user_508,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.36,0.36
raw_0011,2025-05-07 21:00:00,Twitter,crypto_user_312,No USDT pairs? This is so restrictive for active traders.,-0.77,-0.77
raw_0012,2025-05-12 13:00:00,Twitter,crypto_user_959,SFC's new guidelines on VATP are out. Interesting developments.,-0.08,-0.08
raw_0013,2025-05-04 18:00:00,Telegram,crypto_user_227,Bitcoin price holding steady at $100k. #BTC,0.05,0.05
raw_0014,2025-05-21 18:00:00,Telegram,crypto_user_195,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.7,0.7
raw_0015,2025-05-24 16:00:00,Telegram,crypto_user_190,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.22,0.22
raw_0016,2025-05-18 01:00:00,Twitter,crypto_user_141,Anyone using HashKey for institutional custody? Looking for reviews.,-0.04,-0.04
raw_0017,2025-05-05 19:00:00,LIHKG,crypto_user_680,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.64,0.64
